x,y,z,yaw,velocity,change_flag
8.7830,15.5539,-0.5014,2.7615,0.5,0
7.8052,15.7944,-0.5233,2.8468,1.5,0
6.8057,15.9789,-0.5334,2.9238,2.0,0
5.7881,15.9609,-0.5975,-3.1410,2.0,0
4.8165,15.6992,-0.5434,-2.8942,2.0,0
3.9523,15.1558,-0.6030,-2.6109,2.0,0
3.2435,14.4408,-0.6069,-2.4213,2.0,0
2.6859,13.5924,-0.6404,-2.1672,2.0,0
2.4173,12.6255,-0.6920,-1.8819,2.0,0
2.3539,11.6184,-0.7892,-1.6462,2.0,0
2.2416,10.7167,-0.8074,-1.7728,2.0,0
1.9789,9.7379,-0.8988,-1.8071,2.0,0
1.7311,8.7528,-0.9207,-1.8251,2.0,0
1.5263,7.7592,-0.8817,-1.8289,2.0,0
1.3060,6.98,-0.7771,-1.8834,1.5,0
0.98,6.14,-0.7771,-1.927,1.0,0
