x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
-1.8828,-0.1413,-0.7159,0.1372,0.0000,0,0,0,0,0
x,y,z,yaw,velocity,change_flag
-8.2883,1.8636,-0.6394,-1.6110,0,0
-8.2829,1.3494,-0.6873,-1.5322,1.4612,0
-8.1651,0.8535,-0.6425,-1.2868,1.2010,0
-7.8705,0.4208,-0.6840,-0.9413,1.0732,0
-7.5300,0.0238,-0.7232,-0.6992,1.0056,0
-7.0971,-0.2407,-0.6881,-0.4302,1.1341,0
-6.6101,-0.3773,-0.6795,-0.2394,2.2613,0
-6.1017,-0.4345,-0.6739,-0.0617,1.6803,0
-5.5610,-0.4330,-0.7061,0.0296,2.3994,0
-5.0471,-0.3925,-0.7163,0.0554,1.2158,0
-4.5458,-0.3459,-0.7515,0.1102,0.6487,0
-4.0472,-0.2655,-0.7165,0.1257,0.4628,0
-3.5458,-0.1925,-0.7393,0.1278,0.6586,0
-3.0428,-0.1032,-0.7710,0.1657,2.4632,0
-2.5269,-0.0037,-0.7601,0.1454,1.5415,0
-2.0176,0.0780,-0.7215,0.1210,1.1860,0
-1.5151,0.1156,-0.7646,0.0315,0.8236,0
-0.9974,0.1281,-0.7740,-0.0585,1.1417,0
-0.4860,0.1025,-0.7777,-0.0509,1.5005,0
0.0203,0.0633,-0.7980,-0.1233,1.0339,0
0.4995,-0.1451,-0.7296,-0.4960,2.2260,0
0.9596,-0.3601,-0.6973,-0.4568,1.6138,0
